Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0021670,insulinoma,,-2.7,12,5.6,30244,258,29,3,10,5.7,2571|7086|27349,GAD1|TKT|MCAT,0,MyList
DisGeNET,35,C2931852,Clear-cell metastatic renal cell carcinoma,,-2.7,12,5.5,30244,260,29,3,10,5.7,5315|6648|119391,PKM|SOD2|GSTO2,0,MyList
Cell Type Signatures,7,M39228,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-2.7,12,5.4,30244,268,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,MyList
DisGeNET,35,C0525045,Mood Disorders,,-2.7,7.2,4.7,30244,580,29,4,14,6.4,2571|5211|6648|10988,GAD1|PFKL|SOD2|METAP2,0,MyList
Cell Type Signatures,7,M39257,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-2.6,11,5.3,30244,276,29,3,10,5.7,2821|4677|5315,GPI|NARS1|PKM,0,MyList
Cell Type Signatures,7,M39227,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-2.6,11,5.3,30244,278,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,MyList
Transcription Factor Targets,16,M29995,HES4 TARGET GENES,,-2.6,7,4.6,30244,597,29,4,14,6.4,3029|4677|6648|28998,HAGH|NARS1|SOD2|MRPL13,0,MyList
DisGeNET,35,C0205698,Undifferentiated carcinoma,,-2.6,11,5.3,30244,283,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
DisGeNET,35,C0020676,Hypothyroidism,,-2.6,6.8,4.5,30244,613,29,4,14,6.4,4141|6648|10988|119391,MARS1|SOD2|METAP2|GSTO2,0,MyList
COVID,200,COVID060,Phosphoproteome_Bouhaddou_Vero_E6_24h_Up,,-2.5,10,5.1,30244,300,29,3,10,5.7,5211|5315|7086,PFKL|PKM|TKT,0,MyList
COVID,200,COVID029,RNA_Liao_BALF-mild_Down,,-2.5,10,5.1,30244,300,29,3,10,5.7,978|10209|93100,CDA|EIF1|NAPRT,0,MyList
Transcription Factor Targets,16,M30011,HOXB6 TARGET GENES,,-2.5,6.5,4.4,30244,638,29,4,14,6.4,2821|6648|51373|92399,GPI|SOD2|MRPS17|MRRF,0,MyList
Transcription Factor Targets,16,M40810,ZNF579 TARGET GENES,,-2.5,6.4,4.3,30244,652,29,4,14,6.4,4141|4677|7086|28998,MARS1|NARS1|TKT|MRPL13,0,MyList
DisGeNET,35,C0206062,"Lung Diseases, Interstitial",,-2.5,9.8,4.9,30244,319,29,3,10,5.7,4141|4677|6648,MARS1|NARS1|SOD2,0,MyList
Cell Type Signatures,7,M39238,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-2.4,9.6,4.8,30244,326,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,MyList
Transcription Factor Targets,16,M29986,GUCY1B1 TARGET GENES,,-2.4,6.1,4.2,30244,686,29,4,14,6.4,3029|6648|28998|29088,HAGH|SOD2|MRPL13|MRPL15,0,MyList
DisGeNET,35,C0020557,Hypertriglyceridemia,,-2.4,9.2,4.7,30244,340,29,3,10,5.7,275|2821|27349,AMT|GPI|MCAT,0,MyList
DisGeNET,35,C0158266,Intervertebral Disc Degeneration,,-2.4,9.1,4.7,30244,342,29,3,10,5.7,978|6648|10209,CDA|SOD2|EIF1,0,MyList
Cell Type Signatures,7,M41751,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.4,9,4.7,30244,347,29,3,10,5.7,6648|7086|10209,SOD2|TKT|EIF1,0,MyList
Transcription Factor Targets,16,M40851,ZNF490 TARGET GENES,,-2.3,8.9,4.6,30244,350,29,3,10,5.7,4677|5315|51023,NARS1|PKM|MRPS18C,0,MyList
Cell Type Signatures,7,M39231,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-2.2,8.2,4.4,30244,381,29,3,10,5.7,4677|5211|5315,NARS1|PFKL|PKM,0,MyList
Transcription Factor Targets,16,M30170,SNIP1 TARGET GENES,,-2.2,5.4,3.8,30244,771,29,4,14,6.4,4141|6648|10209|10988,MARS1|SOD2|EIF1|METAP2,0,MyList
DisGeNET,35,C2973725,Pulmonary arterial hypertension,,-2.1,7.6,4.2,30244,413,29,3,10,5.7,6648|10988|27349,SOD2|METAP2|MCAT,0,MyList
DisGeNET,35,C0162429,Malnutrition,,-2.1,7.5,4.1,30244,417,29,3,10,5.7,978|2592|4677,CDA|GALT|NARS1,0,MyList
DisGeNET,35,C0002895,"Anemia, Sickle Cell",,-2.1,7.2,4,30244,433,29,3,10,5.7,978|2571|6648,CDA|GAD1|SOD2,0,MyList
Cell Type Signatures,7,M39203,HAY BONE MARROW NEUTROPHIL,,-2,7,3.9,30244,449,29,3,10,5.7,978|5315|7086,CDA|PKM|TKT,0,MyList
