Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006418,tRNA aminoacylation for protein translation,19_GO:0008152 metabolic process,-18,1.2e+02,35,30244,41,61,10,16,4.7,5859|10352|10667|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|FARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-15,MyList
Reactome Gene Sets,6,R-HSA-379724,tRNA Aminoacylation,,-18,1.2e+02,34,30244,42,61,10,16,4.7,5859|10352|10667|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|FARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-15,MyList
GO Biological Processes,19,GO:0043039,tRNA aminoacylation,19_GO:0008152 metabolic process,-18,1.1e+02,33,30244,44,61,10,16,4.7,5859|10352|10667|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|FARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-15,MyList
GO Biological Processes,19,GO:0043038,amino acid activation,19_GO:0008152 metabolic process,-18,1.1e+02,33,30244,45,61,10,16,4.7,5859|10352|10667|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|FARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-15,MyList
KEGG Pathway,24,hsa00970,Aminoacyl-tRNA biosynthesis,,-16,75,27,30244,66,61,10,16,4.7,5859|10352|10667|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|FARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-13,MyList
GO Biological Processes,19,GO:0006399,tRNA metabolic process,19_GO:0008152 metabolic process,-16,33,20,30244,194,61,13,21,5.2,5859|10352|10667|23395|23438|25821|51067|54517|54938|55157|57176|84705|124454,QARS1|WARS2|FARS2|LARS2|HARS2|MTO1|YARS2|PUS7|SARS2|DARS2|VARS2|GTPBP3|EARS2,-13,MyList
CORUM,33,CORUM:320,"55S ribosome, mitochondrial",,-15,64,25,30244,77,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-12,MyList
Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-15,57,24,30244,87,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-12,MyList
Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-15,57,24,30244,87,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-12,MyList
Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-15,57,24,30244,87,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-12,MyList
Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-14,53,23,30244,93,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-11,MyList
KEGG Pathway,24,hsa01200,Carbon metabolism,,-13,43,20,30244,115,61,10,16,4.7,38|847|1431|1743|2597|2653|2731|4967|29968|221823,ACAT1|CAT|CS|DLST|GAPDH|GCSH|GLDC|OGDH|PSAT1|PRPS1L1,-10,MyList
CORUM,33,CORUM:324,"39S ribosomal subunit, mitochondrial",,-13,83,25,30244,48,61,8,13,4.3,6182|9553|9801|10573|11222|63875|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPL17|MRPL1|MRPL24,-10,MyList
GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-13,13,13,30244,555,61,15,25,5.5,38|471|1743|4351|4967|5198|8833|10201|10380|10845|54963|54995|64080|133686|221823,ACAT1|ATIC|DLST|MPI|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|UCKL1|OXSM|RBKS|NADK2|PRPS1L1,-9.6,MyList
Reactome Gene Sets,6,R-HSA-71291,Metabolism of amino acids and derivatives,,-12,17,14,30244,376,61,13,21,5.2,38|262|440|1743|2653|2731|2752|4967|5859|11019|25828|29920|29968,ACAT1|AMD1|ASNS|DLST|GCSH|GLDC|GLUL|OGDH|QARS1|LIAS|TXN2|PYCR2|PSAT1,-9.3,MyList
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-12,15,13,30244,478,61,14,23,5.4,38|471|1743|4967|5198|8833|10201|10380|10845|54963|54995|64080|133686|221823,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|UCKL1|OXSM|RBKS|NADK2|PRPS1L1,-9.3,MyList
GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-12,14,13,30244,487,61,14,23,5.4,38|471|1743|4967|5198|8833|10201|10380|10845|54963|54995|64080|133686|221823,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|UCKL1|OXSM|RBKS|NADK2|PRPS1L1,-9.2,MyList
KEGG Pathway,24,hsa03010,Ribosome,,-12,30,17,30244,167,61,10,16,4.7,6182|9553|9801|10573|11222|51116|63875|64965|65008|79590,MRPL12|MRPL33|MRPL19|MRPL28|MRPL3|MRPS2|MRPL17|MRPS9|MRPL1|MRPL24,-8.9,MyList
GO Biological Processes,19,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,19_GO:0008152 metabolic process,-12,3.1e+02,39,30244,8,61,5,8.2,3.5,10352|51067|54938|55157|124454,WARS2|YARS2|SARS2|DARS2|EARS2,-8.9,MyList
GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0008152 metabolic process,-12,15,13,30244,420,61,13,21,5.2,38|471|1743|4967|5198|8833|10201|10380|10845|54995|64080|133686|221823,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|OXSM|RBKS|NADK2|PRPS1L1,-8.8,MyList
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-12,13,12,30244,541,61,14,23,5.4,38|471|1040|2643|2710|5198|8566|8833|10201|10380|23761|54963|133686|221823,ACAT1|ATIC|CDS1|GCH1|GK|PFAS|PDXK|GMPS|NME6|BPNT1|PISD|UCKL1|NADK2|PRPS1L1,-8.7,MyList
GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-11,14,13,30244,450,61,13,21,5.2,38|471|1743|4967|5198|8833|10201|10380|10845|54995|64080|133686|221823,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|OXSM|RBKS|NADK2|PRPS1L1,-8.5,MyList
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-11,25,15,30244,198,61,10,16,4.7,38|440|1743|2653|2731|2752|5198|8833|29920|29968,ACAT1|ASNS|DLST|GCSH|GLDC|GLUL|PFAS|GMPS|PYCR2|PSAT1,-8.3,MyList
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-11,16,13,30244,369,61,12,20,5.1,38|471|1743|4967|5198|8833|10201|10380|10845|54963|54995|221823,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|UCKL1|OXSM|PRPS1L1,-8.2,MyList
KEGG Pathway,24,hsa01240,Biosynthesis of cofactors,,-11,29,16,30244,153,61,9,15,4.5,2643|4351|8566|10201|11019|29968|54995|124454|133686,GCH1|MPI|PDXK|NME6|LIAS|PSAT1|OXSM|EARS2|NADK2,-7.8,MyList
KEGG Pathway,24,hsa00630,Glyoxylate and dicarboxylate metabolism,,-11,99,24,30244,30,61,6,9.8,3.8,38|847|1431|2653|2731|2752,ACAT1|CAT|CS|GCSH|GLDC|GLUL,-7.7,MyList
GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-11,12,12,30244,520,61,13,21,5.2,5859|10352|10667|23395|23438|25821|51067|54517|54938|55157|57176|84705|124454,QARS1|WARS2|FARS2|LARS2|HARS2|MTO1|YARS2|PUS7|SARS2|DARS2|VARS2|GTPBP3|EARS2,-7.7,MyList
GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,19_GO:0008152 metabolic process,-9.8,15,12,30244,360,61,11,18,4.9,38|471|1743|4967|5198|8833|10201|10380|10845|54963|54995,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|UCKL1|OXSM,-7.1,MyList
KEGG Pathway,24,hsa01230,Biosynthesis of amino acids,,-9.8,46,18,30244,75,61,7,11,4.1,440|1431|2597|2752|29920|29968|221823,ASNS|CS|GAPDH|GLUL|PYCR2|PSAT1|PRPS1L1,-7,MyList
GO Biological Processes,19,GO:0000959,mitochondrial RNA metabolic process,19_GO:0008152 metabolic process,-9.5,68,20,30244,44,61,6,9.8,3.8,6182|10352|51067|54938|55157|124454,MRPL12|WARS2|YARS2|SARS2|DARS2|EARS2,-6.7,MyList
GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0008152 metabolic process,-8.8,15,11,30244,341,61,10,16,4.7,38|471|1743|4967|5198|8833|10201|10380|10845|54995,ACAT1|ATIC|DLST|OGDH|PFAS|GMPS|NME6|BPNT1|CLPX|OXSM,-6.1,MyList
Reactome Gene Sets,6,R-HSA-389661,Glyoxylate metabolism and glycine degradation,,-8.3,80,20,30244,31,61,5,8.2,3.5,1743|2653|2731|4967|11019,DLST|GCSH|GLDC|OGDH|LIAS,-5.6,MyList
GO Biological Processes,19,GO:0009156,ribonucleoside monophosphate biosynthetic process,19_GO:0008152 metabolic process,-8.1,73,19,30244,34,61,5,8.2,3.5,471|5198|8833|54963|221823,ATIC|PFAS|GMPS|UCKL1|PRPS1L1,-5.4,MyList
GO Biological Processes,19,GO:0009124,nucleoside monophosphate biosynthetic process,19_GO:0008152 metabolic process,-7.6,59,17,30244,42,61,5,8.2,3.5,471|5198|8833|54963|221823,ATIC|PFAS|GMPS|UCKL1|PRPS1L1,-4.9,MyList
WikiPathways,27,WP3925,Amino acid metabolism,,-7.5,33,14,30244,91,61,6,9.8,3.8,440|1431|1743|2752|4967|23395,ASNS|CS|DLST|GLUL|OGDH|LARS2,-4.8,MyList
GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.2,15,10,30244,263,61,8,13,4.3,38|471|5198|8833|10201|54963|133686|221823,ACAT1|ATIC|PFAS|GMPS|NME6|UCKL1|NADK2|PRPS1L1,-4.5,MyList
GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-7.2,15,10,30244,265,61,8,13,4.3,38|471|5198|8833|10201|54963|133686|221823,ACAT1|ATIC|PFAS|GMPS|NME6|UCKL1|NADK2|PRPS1L1,-4.5,MyList
GO Biological Processes,19,GO:0009161,ribonucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-6.9,42,14,30244,59,61,5,8.2,3.5,471|5198|8833|54963|221823,ATIC|PFAS|GMPS|UCKL1|PRPS1L1,-4.2,MyList
GO Biological Processes,19,GO:0006541,glutamine metabolic process,19_GO:0008152 metabolic process,-6.7,79,18,30244,25,61,4,6.6,3.2,440|2752|5198|8833,ASNS|GLUL|PFAS|GMPS,-4.1,MyList
GO Biological Processes,19,GO:0046390,ribose phosphate biosynthetic process,19_GO:0008152 metabolic process,-6.6,16,10,30244,215,61,7,11,4.1,38|471|5198|8833|10201|54963|221823,ACAT1|ATIC|PFAS|GMPS|NME6|UCKL1|PRPS1L1,-3.9,MyList
GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-6.5,9.8,8.5,30244,456,61,9,15,4.5,440|2643|2752|8566|11019|29920|29968|54963|54995,ASNS|GCH1|GLUL|PDXK|LIAS|PYCR2|PSAT1|UCKL1|OXSM,-3.9,MyList
GO Biological Processes,19,GO:0009064,glutamine family amino acid metabolic process,19_GO:0008152 metabolic process,-6.4,34,13,30244,72,61,5,8.2,3.5,440|2752|5198|8833|29920,ASNS|GLUL|PFAS|GMPS|PYCR2,-3.8,MyList
GO Biological Processes,19,GO:0006164,purine nucleotide biosynthetic process,19_GO:0008152 metabolic process,-6.4,15,9.7,30244,229,61,7,11,4.1,38|471|5198|8833|10201|133686|221823,ACAT1|ATIC|PFAS|GMPS|NME6|NADK2|PRPS1L1,-3.8,MyList
GO Biological Processes,19,GO:0009123,nucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-6.3,33,12,30244,76,61,5,8.2,3.5,471|5198|8833|54963|221823,ATIC|PFAS|GMPS|UCKL1|PRPS1L1,-3.7,MyList
GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-6.3,15,9.5,30244,238,61,7,11,4.1,38|471|5198|8833|10201|133686|221823,ACAT1|ATIC|PFAS|GMPS|NME6|NADK2|PRPS1L1,-3.7,MyList
GO Biological Processes,19,GO:0072524,pyridine-containing compound metabolic process,19_GO:0008152 metabolic process,-6.3,32,12,30244,78,61,5,8.2,3.5,4967|8566|29968|64080|133686,OGDH|PDXK|PSAT1|RBKS|NADK2,-3.7,MyList
GO Biological Processes,19,GO:1901606,alpha-amino acid catabolic process,19_GO:0008152 metabolic process,-5.9,27,11,30244,91,61,5,8.2,3.5,38|1743|2653|2731|2752,ACAT1|DLST|GCSH|GLDC|GLUL,-3.3,MyList
Reactome Gene Sets,6,R-HSA-73817,Purine ribonucleoside monophosphate biosynthesis,,-5.9,1.4e+02,20,30244,11,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-3.3,MyList
WikiPathways,27,WP4290,Metabolic reprogramming in colon cancer,,-5.8,47,13,30244,42,61,4,6.6,3.2,1743|2597|29920|29968,DLST|GAPDH|PYCR2|PSAT1,-3.2,MyList
Reactome Gene Sets,6,R-HSA-8956320,Nucleotide biosynthesis,,-5.6,1.1e+02,18,30244,14,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-3,MyList
GO Biological Processes,19,GO:0006177,GMP biosynthetic process,19_GO:0008152 metabolic process,-5.6,1.1e+02,18,30244,14,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-3,MyList
GO Biological Processes,19,GO:1901137,carbohydrate derivative biosynthetic process,19_GO:0008152 metabolic process,-5.5,7.5,7.2,30244,594,61,9,15,4.5,38|471|2710|4351|5198|8833|10201|54963|221823,ACAT1|ATIC|GK|MPI|PFAS|GMPS|NME6|UCKL1|PRPS1L1,-3,MyList
GO Biological Processes,19,GO:0006790,sulfur compound metabolic process,19_GO:0008152 metabolic process,-5.5,11,8.1,30244,308,61,7,11,4.1,38|262|1743|4967|10380|11019|54995,ACAT1|AMD1|DLST|OGDH|BPNT1|LIAS|OXSM,-3,MyList
GO Biological Processes,19,GO:0009063,amino acid catabolic process,19_GO:0008152 metabolic process,-5.5,22,10,30244,111,61,5,8.2,3.5,38|1743|2653|2731|2752,ACAT1|DLST|GCSH|GLDC|GLUL,-3,MyList
GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-5.4,14,8.7,30244,208,61,6,9.8,3.8,38|471|5198|8833|10201|54963,ACAT1|ATIC|PFAS|GMPS|NME6|UCKL1,-2.9,MyList
GO Biological Processes,19,GO:0033865,nucleoside bisphosphate metabolic process,19_GO:0008152 metabolic process,-5.4,21,9.8,30244,118,61,5,8.2,3.5,38|1743|4967|10380|54995,ACAT1|DLST|OGDH|BPNT1|OXSM,-2.9,MyList
GO Biological Processes,19,GO:0033875,ribonucleoside bisphosphate metabolic process,19_GO:0008152 metabolic process,-5.4,21,9.8,30244,118,61,5,8.2,3.5,38|1743|4967|10380|54995,ACAT1|DLST|OGDH|BPNT1|OXSM,-2.9,MyList
GO Biological Processes,19,GO:0034032,purine nucleoside bisphosphate metabolic process,19_GO:0008152 metabolic process,-5.4,21,9.8,30244,118,61,5,8.2,3.5,38|1743|4967|10380|54995,ACAT1|DLST|OGDH|BPNT1|OXSM,-2.9,MyList
WikiPathways,27,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),,-5.4,93,17,30244,16,61,3,4.9,2.8,1431|1743|4967,CS|DLST|OGDH,-2.9,MyList
KEGG Pathway,24,hsa00230,Purine metabolism,,-5.2,19,9.4,30244,128,61,5,8.2,3.5,471|5198|8833|10201|221823,ATIC|PFAS|GMPS|NME6|PRPS1L1,-2.7,MyList
WikiPathways,27,WP78,TCA cycle (aka Krebs or citric acid cycle),,-5.2,83,16,30244,18,61,3,4.9,2.8,1431|1743|4967,CS|DLST|OGDH,-2.7,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-5.2,9.8,7.5,30244,353,61,7,11,4.1,38|1743|2653|2710|2731|2752|64080,ACAT1|DLST|GCSH|GK|GLDC|GLUL|RBKS,-2.7,MyList
GO Biological Processes,19,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,19_GO:0008152 metabolic process,-5.1,74,15,30244,20,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-2.6,MyList
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-5,9.3,7.3,30244,372,61,7,11,4.1,38|847|1431|1743|2731|4967|64080,ACAT1|CAT|CS|DLST|GLDC|OGDH|RBKS,-2.5,MyList
GO Biological Processes,19,GO:1901607,alpha-amino acid biosynthetic process,19_GO:0008152 metabolic process,-5,30,11,30244,67,61,4,6.6,3.2,440|2752|29920|29968,ASNS|GLUL|PYCR2|PSAT1,-2.5,MyList
GO Biological Processes,19,GO:0009127,purine nucleoside monophosphate biosynthetic process,19_GO:0008152 metabolic process,-4.9,68,14,30244,22,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-2.5,MyList
Reactome Gene Sets,6,R-HSA-71403,Citric acid cycle (TCA cycle),,-4.9,68,14,30244,22,61,3,4.9,2.8,1431|1743|4967,CS|DLST|OGDH,-2.5,MyList
GO Biological Processes,19,GO:0008652,amino acid biosynthetic process,19_GO:0008152 metabolic process,-4.8,26,9.9,30244,75,61,4,6.6,3.2,440|2752|29920|29968,ASNS|GLUL|PYCR2|PSAT1,-2.3,MyList
GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-4.7,11,7.4,30244,274,61,6,9.8,3.8,440|2752|11019|29920|29968|54995,ASNS|GLUL|LIAS|PYCR2|PSAT1|OXSM,-2.3,MyList
GO Biological Processes,19,GO:0016053,organic acid biosynthetic process,19_GO:0008152 metabolic process,-4.7,11,7.3,30244,277,61,6,9.8,3.8,440|2752|11019|29920|29968|54995,ASNS|GLUL|LIAS|PYCR2|PSAT1|OXSM,-2.2,MyList
GO Biological Processes,19,GO:0046037,GMP metabolic process,19_GO:0008152 metabolic process,-4.7,55,13,30244,27,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-2.2,MyList
KEGG Pathway,24,hsa00020,Citrate cycle (TCA cycle),,-4.5,50,12,30244,30,61,3,4.9,2.8,1431|1743|4967,CS|DLST|OGDH,-2.1,MyList
GO Biological Processes,19,GO:0006637,acyl-CoA metabolic process,19_GO:0008152 metabolic process,-4.5,22,9,30244,90,61,4,6.6,3.2,38|1743|4967|54995,ACAT1|DLST|OGDH|OXSM,-2.1,MyList
GO Biological Processes,19,GO:0035383,thioester metabolic process,19_GO:0008152 metabolic process,-4.5,22,9,30244,90,61,4,6.6,3.2,38|1743|4967|54995,ACAT1|DLST|OGDH|OXSM,-2.1,MyList
GO Biological Processes,19,GO:0072525,pyridine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-4.5,48,12,30244,31,61,3,4.9,2.8,8566|29968|133686,PDXK|PSAT1|NADK2,-2.1,MyList
GO Biological Processes,19,GO:0043648,dicarboxylic acid metabolic process,19_GO:0008152 metabolic process,-4.5,22,8.9,30244,91,61,4,6.6,3.2,471|1743|2752|4967,ATIC|DLST|GLUL|OGDH,-2,MyList
WikiPathways,27,WP408,Oxidative stress response,,-4.4,45,11,30244,33,61,3,4.9,2.8,847|6647|25828,CAT|SOD1|TXN2,-2,MyList
GO Biological Processes,19,GO:0006099,tricarboxylic acid cycle,19_GO:0008152 metabolic process,-4.4,45,11,30244,33,61,3,4.9,2.8,1431|1743|4967,CS|DLST|OGDH,-2,MyList
GO Biological Processes,19,GO:0009152,purine ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-4.3,13,7.4,30244,194,61,5,8.2,3.5,38|471|5198|8833|10201,ACAT1|ATIC|PFAS|GMPS|NME6,-1.9,MyList
Reactome Gene Sets,6,R-HSA-15869,Metabolism of nucleotides,,-4.3,20,8.5,30244,99,61,4,6.6,3.2,471|5198|8833|54963,ATIC|PFAS|GMPS|UCKL1,-1.9,MyList
Reactome Gene Sets,6,R-HSA-3299685,Detoxification of Reactive Oxygen Species,,-4.2,40,11,30244,37,61,3,4.9,2.8,847|6647|25828,CAT|SOD1|TXN2,-1.8,MyList
GO Biological Processes,19,GO:0009069,serine family amino acid metabolic process,19_GO:0008152 metabolic process,-4.2,38,10,30244,39,61,3,4.9,2.8,2653|2731|29968,GCSH|GLDC|PSAT1,-1.8,MyList
KEGG Pathway,24,hsa00260,"Glycine, serine and threonine metabolism",,-4.1,37,10,30244,40,61,3,4.9,2.8,2653|2731|29968,GCSH|GLDC|PSAT1,-1.8,MyList
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0008152 metabolic process,-4.1,18,8,30244,110,61,4,6.6,3.2,2597|2710|4967|64080,GAPDH|GK|OGDH|RBKS,-1.8,MyList
GO Biological Processes,19,GO:0009167,purine ribonucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-4.1,35,10,30244,42,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-1.7,MyList
KEGG Pathway,24,hsa00380,Tryptophan metabolism,,-4.1,35,10,30244,42,61,3,4.9,2.8,38|847|1743,ACAT1|CAT|DLST,-1.7,MyList
GO Biological Processes,19,GO:0009126,purine nucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-4,34,9.8,30244,44,61,3,4.9,2.8,471|5198|8833,ATIC|PFAS|GMPS,-1.6,MyList
