_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-9.5,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-15,R-HSA-5419276,Mitochondrial translation termination,M1,1,0
1,-5.9,R-HSA-73817,Purine ribonucleoside monophosphate biosynthesis,M1,1,0
1,-6.3,GO:0072524,pyridine-containing compound metabolic process,M1,1,0
1,-5,GO:1901607,alpha-amino acid biosynthetic process,M1,1,0
1,-6.4,GO:0009064,glutamine family amino acid metabolic process,M1,1,0
1,-4.9,R-HSA-71403,Citric acid cycle (TCA cycle),M1,1,0
1,-12,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-4,GO:0016054,organic acid catabolic process,M1,1,0
1,-13,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-5.5,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-2.4,GO:0043543,protein acylation,M1,1,0
1,-16,GO:0006399,tRNA metabolic process,M1,1,0
1,-16,hsa00970,Aminoacyl-tRNA biosynthesis,M1,1,0
1,-7.2,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-3,GO:0006400,tRNA modification,M1,1,0
1,-2.9,R-HSA-72306,tRNA processing,M1,1,0
1,-2.6,GO:0051604,protein maturation,M1,1,0
1,-11,hsa00630,Glyoxylate and dicarboxylate metabolism,M1,1,0
1,-4,GO:0046395,carboxylic acid catabolic process,M1,1,0
1,-15,CORUM:320,"55S ribosome, mitochondrial",M1,1,0
1,-20,GO:0006518,peptide metabolic process,M1,1,0
1,-2.1,R-HSA-9711123,Cellular response to chemical stress,M1,1,0
1,-2,GO:0006457,protein folding,M1,1,0
1,-4.4,WP408,Oxidative stress response,M1,1,0
1,-5.2,WP78,TCA cycle (aka Krebs or citric acid cycle),M1,1,0
1,-11,GO:1901605,alpha-amino acid metabolic process,M1,1,0
1,-11,hsa01240,Biosynthesis of cofactors,M1,1,0
1,-18,GO:0043038,amino acid activation,M1,1,0
1,-3.2,hsa01232,Nucleotide metabolism,M1,1,0
1,-4.5,hsa00020,Citrate cycle (TCA cycle),M1,1,0
1,-2.4,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-4.1,GO:0016052,carbohydrate catabolic process,M1,1,0
1,-5.4,GO:0034032,purine nucleoside bisphosphate metabolic process,M1,1,0
1,-2.2,GO:0009743,response to carbohydrate,M1,1,0
1,-9.8,GO:0009259,ribonucleotide metabolic process,M1,1,0
1,-6.7,GO:0006541,glutamine metabolic process,M1,1,0
1,-5.8,WP4290,Metabolic reprogramming in colon cancer,M1,1,0
1,-7.6,GO:0009124,nucleoside monophosphate biosynthetic process,M1,1,0
1,-2.1,GO:0042594,response to starvation,M1,1,0
1,-22,GO:0043043,peptide biosynthetic process,M1,1,0
1,-5.5,GO:0009063,amino acid catabolic process,M1,1,0
1,-3.1,GO:0046486,glycerolipid metabolic process,M1,1,0
1,-2.2,R-HSA-196854,Metabolism of vitamins and cofactors,M1,1,0
1,-18,GO:0006418,tRNA aminoacylation for protein translation,M1,1,0
1,-4.5,GO:0006637,acyl-CoA metabolic process,M1,1,0
1,-2.3,R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,M1,1,0
1,-18,R-HSA-379724,tRNA Aminoacylation,M1,1,0
1,-9.8,hsa01230,Biosynthesis of amino acids,M1,1,0
1,-5.5,GO:0006790,sulfur compound metabolic process,M1,1,0
1,-22,GO:0006412,translation,M1,1,0
1,-18,GO:0043039,tRNA aminoacylation,M1,1,0
1,-2.2,GO:0009451,RNA modification,M1,1,0
1,-15,R-HSA-5389840,Mitochondrial translation elongation,M1,1,0
1,-4.3,R-HSA-15869,Metabolism of nucleotides,M1,1,0
1,-23,GO:0043604,amide biosynthetic process,M1,1,0
1,-7.2,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-3,GO:0045017,glycerolipid biosynthetic process,M1,1,0
1,-4.1,GO:0009167,purine ribonucleoside monophosphate metabolic process,M1,1,0
1,-4.5,GO:0035383,thioester metabolic process,M1,1,0
1,-6.3,GO:0072522,purine-containing compound biosynthetic process,M1,1,0
1,-13,CORUM:324,"39S ribosomal subunit, mitochondrial",M1,1,0
1,-7.5,WP3925,Amino acid metabolism,M1,1,0
1,-4.4,GO:0006099,tricarboxylic acid cycle,M1,1,0
1,-4.5,GO:0072525,pyridine-containing compound biosynthetic process,M1,1,0
1,-3.7,R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,M1,1,0
1,-12,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-11,GO:0019693,ribose phosphate metabolic process,M1,1,0
1,-25,GO:0032543,mitochondrial translation,M1,1,0
1,-6.3,GO:0009123,nucleoside monophosphate metabolic process,M1,1,0
1,-4.7,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-4.2,GO:0009069,serine family amino acid metabolic process,M1,1,0
1,-3.6,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-6.4,GO:0006164,purine nucleotide biosynthetic process,M1,1,0
1,-3,GO:0006979,response to oxidative stress,M1,1,0
1,-13,hsa01200,Carbon metabolism,M1,1,0
1,-5.6,GO:0006177,GMP biosynthetic process,M1,1,0
1,-3.4,GO:0019362,pyridine nucleotide metabolic process,M1,1,0
1,-4.1,hsa00380,Tryptophan metabolism,M1,1,0
1,-4.1,hsa00260,"Glycine, serine and threonine metabolism",M1,1,0
1,-12,R-HSA-71291,Metabolism of amino acids and derivatives,M1,1,0
1,-2.3,GO:1901617,organic hydroxy compound biosynthetic process,M1,1,0
1,-4.9,GO:0009127,purine nucleoside monophosphate biosynthetic process,M1,1,0
1,-3.8,GO:0008033,tRNA processing,M1,1,0
1,-3.2,GO:0045333,cellular respiration,M1,1,0
1,-5.4,GO:0033875,ribonucleoside bisphosphate metabolic process,M1,1,0
1,-5.4,GO:0033865,nucleoside bisphosphate metabolic process,M1,1,0
1,-11,GO:0034660,ncRNA metabolic process,M1,1,0
1,-14,R-HSA-5368287,Mitochondrial translation,M1,1,0
