_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.3,M29979,M1,1,0,Transcription Factor Targets,16,GLI3 TARGET GENES,,-2.3,3.3,3.4,30244,742,86,7,8.1,2.9,353|2745|3320|3376|5471|7360|51081,APRT|GLRX|HSP90AA1|IARS1|PPAT|UGP2|MRPS7,-0.1,0
1,-2.3,M30020,M1,1,0,Transcription Factor Targets,16,HSF2 TARGET GENES,,-2.3,5.7,4,30244,246,86,4,4.7,2.3,3320|3329|5230|5723,HSP90AA1|HSPD1|PGK1|PSPH,-0.097,0
1,-2.3,M401,M1,1,0,Transcription Factor Targets,16,GCGNNANTTCC UNKNOWN,,-2.3,8.4,4.5,30244,125,86,3,3.5,2,158|3329|79693,ADSL|HSPD1|YRDC,-0.092,0
1,-2.3,M40813,M1,1,0,Transcription Factor Targets,16,ZNF784 TARGET GENES,,-2.3,4.4,3.7,30244,397,86,5,5.8,2.5,2987|4528|51021|51263|84340,GUK1|MTIF2|MRPS16|MRPL30|GFM2,-0.09,0
1,-2.2,M12874,M1,1,0,Transcription Factor Targets,16,MYCMAX 01,,-2.2,5.5,3.8,30244,257,86,4,4.7,2.3,3313|5471|25996|80324,HSPA9|PPAT|REXO2|PUS1,-0.057,0
1,-2.2,M14141,M1,1,0,Transcription Factor Targets,16,NRF2 Q4,,-2.2,5.5,3.8,30244,258,86,4,4.7,2.3,2023|3313|25996|64983,ENO1|HSPA9|REXO2|MRPL32,-0.053,0
1,-2.2,M30144,M1,1,0,Transcription Factor Targets,16,RORA TARGET GENES,,-2.2,5.4,3.8,30244,262,86,4,4.7,2.3,3313|27430|51263|84340,HSPA9|MAT2B|MRPL30|GFM2,-0.039,0
1,-2.1,M29995,M1,1,0,Transcription Factor Targets,16,HES4 TARGET GENES,,-2.1,3.5,3.3,30244,597,86,6,7,2.7,2023|3376|55163|64960|79587|84340,ENO1|IARS1|PNPO|MRPS15|CARS2|GFM2,-0.022,0
1,-2.1,M40830,M1,1,0,Transcription Factor Targets,16,RBM15 TARGET GENES,,-2.1,7.3,4,30244,145,86,3,3.5,2,3320|7167|79587,HSP90AA1|TPI1|CARS2,0,0
1,-2.1,M29885,M1,1,0,Transcription Factor Targets,16,ALKBH3 TARGET GENES,,-2.1,4,3.4,30244,438,86,5,5.8,2.5,4528|7360|51263|55163|84340,MTIF2|UGP2|MRPL30|PNPO|GFM2,0,0
1,-2.1,M8509,M1,1,0,Transcription Factor Targets,16,NMYC 01,,-2.1,5,3.6,30244,280,86,4,4.7,2.3,3313|3329|5471|22934,HSPA9|HSPD1|PPAT|RPIA,0,0
1,-2.1,M40770,M1,1,0,Transcription Factor Targets,16,ATXN7L3 TARGET GENES,,-2.1,5,3.6,30244,281,86,4,4.7,2.3,2023|3313|3329|9054,ENO1|HSPA9|HSPD1|NFS1,0,0
1,-2.1,M40847,M1,1,0,Transcription Factor Targets,16,ELF5 TARGET GENES,,-2.1,4,3.4,30244,444,86,5,5.8,2.5,2820|3329|54516|79587|84340,GPD2|HSPD1|MTRF1L|CARS2|GFM2,0,0
