Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C4553743,"Spasticity, CTCAE",,-6,7.4,7.5,30244,477,86,10,12,3.5,16|538|1352|1738|2632|7167|22934|25973|54802|84340,AARS1|ATP7A|COX10|DLD|GBE1|TPI1|RPIA|PARS2|TRIT1|GFM2,-2.5,MyList
DisGeNET,35,C4025616,CNS hypomyelination,,-5.7,44,13,30244,32,86,4,4.7,2.3,16|158|25973|100528021,AARS1|ADSL|PARS2|ST20-MTHFS,-2.2,MyList
Cell Type Signatures,7,M41710,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-5.7,6,6.8,30244,646,86,11,13,3.6,353|586|2108|3417|4357|5226|5236|5479|51073|63931|64960,APRT|BCAT1|ETFA|IDH1|MPST|PGD|PGM1|PPIB|MRPL4|MRPS14|MRPS15,-2.2,MyList
DisGeNET,35,C0424551,Impaired exercise tolerance,,-5.6,23,10,30244,76,86,5,5.8,2.5,1352|5230|5236|10056|80324,COX10|PGK1|PGM1|FARSB|PUS1,-2.2,MyList
DisGeNET,35,C0020615,Hypoglycemia,,-5.5,7.5,7.2,30244,420,86,9,10,3.3,353|538|1738|2023|2108|2203|5236|51081|55163,APRT|ATP7A|DLD|ENO1|ETFA|FBP1|PGM1|MRPS7|PNPO,-2.2,MyList
DisGeNET,35,C0024530,Malaria,,-5.4,5.7,6.6,30244,684,86,11,13,3.6,158|2235|3313|3320|3376|3704|3735|5226|5236|25973|26227,ADSL|FECH|HSPA9|HSP90AA1|IARS1|ITPA|KARS1|PGD|PGM1|PARS2|PHGDH,-2.1,MyList
Cell Type Signatures,7,M39237,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-5.4,8.7,7.5,30244,322,86,8,9.3,3.1,2023|2987|3313|3320|3329|5230|5479|7167,ENO1|GUK1|HSPA9|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-2.1,MyList
DisGeNET,35,C4020732,Mitochondrial abnormalities,,-5.4,21,9.8,30244,83,86,5,5.8,2.5,353|1738|2271|3704|6652,APRT|DLD|FH|ITPA|SORD,-2.1,MyList
DisGeNET,35,C0235946,Cerebral atrophy,,-5.2,7,6.8,30244,454,86,9,10,3.3,16|158|2271|3704|10056|25973|54802|57038|79587,AARS1|ADSL|FH|ITPA|FARSB|PARS2|TRIT1|RARS2|CARS2,-2,MyList
DisGeNET,35,C4023722,Abnormality of hair texture,,-5,70,14,30244,15,86,3,3.5,2,538|5230|26227,ATP7A|PGK1|PHGDH,-1.8,MyList
DisGeNET,35,C0424503,Dysmorphic facies,,-4.9,9.1,7.1,30244,271,86,7,8.1,2.9,158|2108|5723|6888|26227|51021|63931,ADSL|ETFA|PSPH|TALDO1|PHGDH|MRPS16|MRPS14,-1.7,MyList
Cell Type Signatures,7,M39225,LAKE ADULT KIDNEY C6 PROXIMAL TUBULE EPITHELIAL CELLS FIBRINOGEN POS S3,,-4.9,12,7.7,30244,181,86,6,7,2.7,2023|2745|3313|3320|3329|4482,ENO1|GLRX|HSPA9|HSP90AA1|HSPD1|MSRA,-1.7,MyList
DisGeNET,35,C0520572,Enzymopathy,,-4.8,62,13,30244,17,86,3,3.5,2,2023|7167|22934,ENO1|TPI1|RPIA,-1.7,MyList
Cell Type Signatures,7,M39227,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-4.8,8.9,7,30244,278,86,7,8.1,2.9,2023|3313|3320|3329|5230|5479|7167,ENO1|HSPA9|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-1.7,MyList
DisGeNET,35,C0026936,Mycoplasma Infections,,-4.8,11,7.5,30244,188,86,6,7,2.7,353|1738|3320|3329|26227|54802,APRT|DLD|HSP90AA1|HSPD1|PHGDH|TRIT1,-1.7,MyList
DisGeNET,35,C0270612,Leukoencephalopathy,,-4.8,11,7.5,30244,189,86,6,7,2.7,16|1352|2673|3735|6652|22934,AARS1|COX10|GFPT1|KARS1|SORD|RPIA,-1.7,MyList
DisGeNET,35,C0023520,Leukodystrophy,,-4.8,11,7.5,30244,190,86,6,7,2.7,1352|2632|3313|3329|3735|6652,COX10|GBE1|HSPA9|HSPD1|KARS1|SORD,-1.7,MyList
DisGeNET,35,C0085605,Liver Failure,,-4.7,8.4,6.8,30244,293,86,7,8.1,2.9,1737|1738|2235|2271|2632|6888|51081,DLAT|DLD|FECH|FH|GBE1|TALDO1|MRPS7,-1.6,MyList
DisGeNET,35,C0011175,Dehydration,,-4.7,8.3,6.8,30244,295,86,7,8.1,2.9,353|2023|3320|3329|6652|6723|55902,APRT|ENO1|HSP90AA1|HSPD1|SORD|SRM|ACSS2,-1.6,MyList
Cell Type Signatures,7,M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-4.6,5.2,5.9,30244,680,86,10,12,3.5,128|2023|3376|5018|5226|6723|6888|7167|25996|26227,ADH5|ENO1|IARS1|OXA1L|PGD|SRM|TALDO1|TPI1|REXO2|PHGDH,-1.6,MyList
DisGeNET,35,C0232744,Decreased liver function,,-4.6,24,9.4,30244,59,86,4,4.7,2.3,1352|2235|6888|10056,COX10|FECH|TALDO1|FARSB,-1.6,MyList
DisGeNET,35,C0042963,Vomiting,,-4.6,8.1,6.7,30244,303,86,7,8.1,2.9,1738|2108|2203|2582|10056|26227|51081,DLD|ETFA|FBP1|GALE|FARSB|PHGDH|MRPS7,-1.6,MyList
DisGeNET,35,C0030232,Pallor,,-4.5,14,7.9,30244,124,86,5,5.8,2.5,538|2203|2271|5230|80324,ATP7A|FBP1|FH|PGK1|PUS1,-1.5,MyList
DisGeNET,35,C0007959,Charcot-Marie-Tooth Disease,,-4.5,10,7.1,30244,208,86,6,7,2.7,16|538|1352|3735|5230|5236,AARS1|ATP7A|COX10|KARS1|PGK1|PGM1,-1.5,MyList
DisGeNET,35,C0007194,Hypertrophic Cardiomyopathy,,-4.5,5.7,5.9,30244,559,86,9,10,3.3,353|1352|1738|3320|3329|3376|3735|7167|63931,APRT|COX10|DLD|HSP90AA1|HSPD1|IARS1|KARS1|TPI1|MRPS14,-1.5,MyList
DisGeNET,35,C1861403,Variable expressivity,,-4.4,7.7,6.4,30244,319,86,7,8.1,2.9,16|1738|2673|3376|51081|54802|57038,AARS1|DLD|GFPT1|IARS1|MRPS7|TRIT1|RARS2,-1.5,MyList
Cell Type Signatures,7,M41698,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-4.4,5.5,5.8,30244,572,86,9,10,3.3,48|586|2023|2203|2745|3320|3417|5226|6888,ACO1|BCAT1|ENO1|FBP1|GLRX|HSP90AA1|IDH1|PGD|TALDO1,-1.5,MyList
DisGeNET,35,C1306837,Papillary Renal Cell Carcinoma,,-4.4,9.5,6.8,30244,223,86,6,7,2.7,353|2108|2271|3313|3329|5230,APRT|ETFA|FH|HSPA9|HSPD1|PGK1,-1.4,MyList
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-4.4,4.8,5.6,30244,731,86,10,12,3.5,48|586|2203|2745|3417|5018|5236|6652|6888|26227,ACO1|BCAT1|FBP1|GLRX|IDH1|OXA1L|PGM1|SORD|TALDO1|PHGDH,-1.4,MyList
DisGeNET,35,C0035579,Rickets,,-4.3,20,8.4,30244,72,86,4,4.7,2.3,538|6888|10056|26227,ATP7A|TALDO1|FARSB|PHGDH,-1.4,MyList
DisGeNET,35,C0231686,"Gait, Unsteady",,-4.2,12,7.2,30244,143,86,5,5.8,2.5,16|538|7167|25973|55163,AARS1|ATP7A|TPI1|PARS2|PNPO,-1.3,MyList
DisGeNET,35,C0016952,Galactosemias,,-4.1,36,10,30244,29,86,3,3.5,2,2582|7360|130589,GALE|UGP2|GALM,-1.2,MyList
DisGeNET,35,C0002878,"Anemia, Hemolytic",,-4.1,11,6.9,30244,153,86,5,5.8,2.5,2203|2235|3704|5230|7167,FBP1|FECH|ITPA|PGK1|TPI1,-1.2,MyList
DisGeNET,35,C0026848,Myopathy,,-4.1,5,5.4,30244,633,86,9,10,3.3,538|2235|2632|2673|5230|5236|7167|80324|84340,ATP7A|FECH|GBE1|GFPT1|PGK1|PGM1|TPI1|PUS1|GFM2,-1.2,MyList
DisGeNET,35,C0162671,MELAS Syndrome,,-4.1,18,7.9,30244,80,86,4,4.7,2.3,2271|6652|57038|84340,FH|SORD|RARS2|GFM2,-1.2,MyList
DisGeNET,35,C1266044,Collecting Duct Carcinoma of the Kidney,,-4,11,6.7,30244,162,86,5,5.8,2.5,353|2271|3313|3329|5230,APRT|FH|HSPA9|HSPD1|PGK1,-1.2,MyList
DisGeNET,35,C0220981,Metabolic acidosis,,-4,17,7.7,30244,85,86,4,4.7,2.3,1738|2203|2271|55163,DLD|FBP1|FH|PNPO,-1.2,MyList
DisGeNET,35,C0268151,Classical galactosemia,,-4,33,9.7,30244,32,86,3,3.5,2,2582|7360|130589,GALE|UGP2|GALM,-1.2,MyList
DisGeNET,35,C0151818,Opisthotonus,,-4,33,9.7,30244,32,86,3,3.5,2,158|26227|79587,ADSL|PHGDH|CARS2,-1.2,MyList
Cell Type Signatures,7,M41703,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-4,6.5,5.7,30244,380,86,7,8.1,2.9,2023|2745|3313|3320|3329|3376|64983,ENO1|GLRX|HSPA9|HSP90AA1|HSPD1|IARS1|MRPL32,-1.2,MyList
DisGeNET,35,C0027066,Myoclonus,,-4,8,6.1,30244,264,86,6,7,2.7,16|158|25973|55163|79587|100528021,AARS1|ADSL|PARS2|PNPO|CARS2|ST20-MTHFS,-1.2,MyList
COVID,200,COVID309,RNA_Wilk_CD8+T-cells_patient-C3_Up,,-3.9,32,9.5,30244,33,86,3,3.5,2,2023|3320|3329,ENO1|HSP90AA1|HSPD1,-1.1,MyList
Cell Type Signatures,7,M39228,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-3.9,7.9,6,30244,268,86,6,7,2.7,2023|3320|3329|5230|5479|7167,ENO1|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-1.1,MyList
DisGeNET,35,C0019209,Hepatomegaly,,-3.9,5.4,5.4,30244,523,86,8,9.3,3.1,1352|1738|2108|2203|2582|6729|6888|51081,COX10|DLD|ETFA|FBP1|GALE|SRP54|TALDO1|MRPS7,-1.1,MyList
DisGeNET,35,C0235659,Reduced fetal movement,,-3.9,10,6.5,30244,169,86,5,5.8,2.5,16|2632|2673|25973|26227,AARS1|GBE1|GFPT1|PARS2|PHGDH,-1.1,MyList
DisGeNET,35,C0027868,Neuromuscular Diseases,,-3.9,10,6.5,30244,171,86,5,5.8,2.5,353|538|2673|3329|7167,APRT|ATP7A|GFPT1|HSPD1|TPI1,-1.1,MyList
Cell Type Signatures,7,M39257,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-3.9,7.6,5.9,30244,276,86,6,7,2.7,2023|2098|3313|5230|7167|25996,ENO1|ESD|HSPA9|PGK1|TPI1|REXO2,-1.1,MyList
DisGeNET,35,C4721579,Secondary malignant neoplasm of colon and/or rectum,,-3.9,6.2,5.6,30244,397,86,7,8.1,2.9,353|2023|3320|3735|6470|7167|54802,APRT|ENO1|HSP90AA1|KARS1|SHMT1|TPI1|TRIT1,-1.1,MyList
DisGeNET,35,C0860207,Drug-Induced Liver Disease,,-3.8,5.2,5.3,30244,537,86,8,9.3,3.1,1737|2023|2180|3320|5236|6652|6888|9942,DLAT|ENO1|ACSL1|HSP90AA1|PGM1|SORD|TALDO1|XYLB,-1.1,MyList
DisGeNET,35,C0086743,Osteoarthrosis Deformans,,-3.8,15,7.2,30244,96,86,4,4.7,2.3,48|2023|2098|2108,ACO1|ENO1|ESD|ETFA,-1,MyList
DisGeNET,35,C0019193,"Hepatitis, Toxic",,-3.8,6,5.4,30244,412,86,7,8.1,2.9,1737|2023|2180|5236|6652|6888|9942,DLAT|ENO1|ACSL1|PGM1|SORD|TALDO1|XYLB,-1,MyList
DisGeNET,35,C4279912,Chemically-Induced Liver Toxicity,,-3.8,6,5.4,30244,412,86,7,8.1,2.9,1737|2023|2180|5236|6652|6888|9942,DLAT|ENO1|ACSL1|PGM1|SORD|TALDO1|XYLB,-1,MyList
DisGeNET,35,C3658290,Drug-Induced Acute Liver Injury,,-3.7,6,5.4,30244,413,86,7,8.1,2.9,1737|2023|2180|5236|6652|6888|9942,DLAT|ENO1|ACSL1|PGM1|SORD|TALDO1|XYLB,-1,MyList
DisGeNET,35,C1262760,"Hepatitis, Drug-Induced",,-3.7,5.9,5.4,30244,418,86,7,8.1,2.9,1737|2023|2180|5236|6652|6888|9942,DLAT|ENO1|ACSL1|PGM1|SORD|TALDO1|XYLB,-1,MyList
Cell Type Signatures,7,M41720,FAN OVARY CL18 B LYMPHOCYTE,,-3.7,5.8,5.3,30244,422,86,7,8.1,2.9,353|1738|2987|3320|3329|5230|6888,APRT|DLD|GUK1|HSP90AA1|HSPD1|PGK1|TALDO1,-0.99,MyList
Cell Type Signatures,7,M39115,AIZARANI LIVER C11 HEPATOCYTES 1,,-3.7,7.1,5.6,30244,298,86,6,7,2.7,2180|2203|3417|6470|6652|7360,ACSL1|FBP1|IDH1|SHMT1|SORD|UGP2,-0.98,MyList
Transcription Factor Targets,16,M40752,FOXO4 TARGET GENES,,-3.7,7.1,5.6,30244,299,86,6,7,2.7,1737|2582|6729|25813|51263|55173,DLAT|GALE|SRP54|SAMM50|MRPL30|MRPS10,-0.98,MyList
DisGeNET,35,C0520459,Necrotizing Enterocolitis,,-3.7,14,6.9,30244,103,86,4,4.7,2.3,2023|2745|3313|6652,ENO1|GLRX|HSPA9|SORD,-0.98,MyList
COVID,200,COVID254,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-3.6,14,6.8,30244,104,86,4,4.7,2.3,2023|2180|3320|3417,ENO1|ACSL1|HSP90AA1|IDH1,-0.97,MyList
DisGeNET,35,C4021759,Generalized myoclonic seizures,,-3.6,13,6.8,30244,105,86,4,4.7,2.3,158|26227|54802|79587,ADSL|PHGDH|TRIT1|CARS2,-0.96,MyList
DisGeNET,35,C1411966,Clostridium; difficile (disorder),,-3.6,13,6.8,30244,106,86,4,4.7,2.3,3313|3320|3329|7167,HSPA9|HSP90AA1|HSPD1|TPI1,-0.95,MyList
DisGeNET,35,C0541794,Skeletal muscle atrophy,,-3.6,6.9,5.5,30244,306,86,6,7,2.7,16|158|2632|2673|7167|26227,AARS1|ADSL|GBE1|GFPT1|TPI1|PHGDH,-0.95,MyList
DisGeNET,35,C0848332,Spots on skin,,-3.6,25,8.2,30244,43,86,3,3.5,2,2023|3417|7167,ENO1|IDH1|TPI1,-0.94,MyList
DisGeNET,35,C0003886,Arthrogryposis,,-3.6,8.9,5.9,30244,198,86,5,5.8,2.5,2203|2632|2673|26227|84340,FBP1|GBE1|GFPT1|PHGDH|GFM2,-0.94,MyList
DisGeNET,35,C0023281,Leishmaniasis,,-3.6,8.9,5.9,30244,198,86,5,5.8,2.5,353|2235|3329|4357|55902,APRT|FECH|HSPD1|MPST|ACSS2,-0.94,MyList
Transcription Factor Targets,16,M29943,DLX6 TARGET GENES,,-3.5,4.7,4.9,30244,596,86,8,9.3,3.1,16|2023|4528|5018|6729|10056|64960|64963,AARS1|ENO1|MTIF2|OXA1L|SRP54|FARSB|MRPS15|MRPS11,-0.89,MyList
DisGeNET,35,C0151744,Myocardial Ischemia,,-3.5,4.2,4.7,30244,756,86,9,10,3.3,353|1737|3313|3329|4482|5236|5471|5834|25813,APRT|DLAT|HSPA9|HSPD1|MSRA|PGM1|PPAT|PYGB|SAMM50,-0.89,MyList
DisGeNET,35,C0013421,Dystonia,,-3.5,5.4,5.1,30244,453,86,7,8.1,2.9,1352|1737|1738|7167|54802|79587|84340,COX10|DLAT|DLD|TPI1|TRIT1|CARS2|GFM2,-0.88,MyList
Cell Type Signatures,7,M39238,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-3.5,6.5,5.3,30244,326,86,6,7,2.7,2023|3313|3320|3329|5230|7167,ENO1|HSPA9|HSP90AA1|HSPD1|PGK1|TPI1,-0.85,MyList
DisGeNET,35,C4277682,Chemical and Drug Induced Liver Injury,,-3.5,5.3,5,30244,461,86,7,8.1,2.9,1737|2023|2180|5236|6652|6888|9942,DLAT|ENO1|ACSL1|PGM1|SORD|TALDO1|XYLB,-0.84,MyList
DisGeNET,35,C1848701,Elevated hepatic transaminase,,-3.5,8.3,5.7,30244,212,86,5,5.8,2.5,1738|2203|5236|6729|51021,DLD|FBP1|PGM1|SRP54|MRPS16,-0.84,MyList
DisGeNET,35,C0175754,Agenesis of corpus callosum,,-3.4,4.6,4.8,30244,615,86,8,9.3,3.1,2271|3313|3320|3329|6652|26227|27430|51021,FH|HSPA9|HSP90AA1|HSPD1|SORD|PHGDH|MAT2B|MRPS16,-0.84,MyList
DisGeNET,35,C0949857,Mitochondrial Respiratory Chain Deficiencies,,-3.4,22,7.7,30244,49,86,3,3.5,2,3329|6652|57038,HSPD1|SORD|RARS2,-0.84,MyList
DisGeNET,35,C1963184,"Nystagmus, CTCAE 3.0",,-3.4,4.1,4.6,30244,779,86,9,10,3.3,16|158|1352|1737|3329|3614|22934|25973|26227,AARS1|ADSL|COX10|DLAT|HSPD1|IMPDH1|RPIA|PARS2|PHGDH,-0.84,MyList
DisGeNET,35,C4554036,"Nystagmus, CTCAE 5.0",,-3.4,4.1,4.6,30244,779,86,9,10,3.3,16|158|1352|1737|3329|3614|22934|25973|26227,AARS1|ADSL|COX10|DLAT|HSPD1|IMPDH1|RPIA|PARS2|PHGDH,-0.84,MyList
DisGeNET,35,C0025521,Inborn Errors of Metabolism,,-3.4,12,6.3,30244,119,86,4,4.7,2.3,158|2582|3704|7167,ADSL|GALE|ITPA|TPI1,-0.84,MyList
Transcription Factor Targets,16,M40840,EPC1 TARGET GENES,,-3.4,8.1,5.6,30244,218,86,5,5.8,2.5,586|1737|2582|51073|80324,BCAT1|DLAT|GALE|MRPL4|PUS1,-0.82,MyList
COVID,200,COVID182,Proteome_Stukalov_A549_72h_ORF9B_Down,,-3.4,8.1,5.6,30244,218,86,5,5.8,2.5,4357|7167|25813|51073|51263,MPST|TPI1|SAMM50|MRPL4|MRPL30,-0.82,MyList
DisGeNET,35,C0085576,Iron-Refractory Iron Deficiency Anemia,,-3.4,21,7.5,30244,51,86,3,3.5,2,48|2235|80324,ACO1|FECH|PUS1,-0.81,MyList
DisGeNET,35,C0343401,MRSA - Methicillin resistant Staphylococcus aureus infection,,-3.4,7.9,5.5,30244,222,86,5,5.8,2.5,353|3313|3329|3376|4482,APRT|HSPA9|HSPD1|IARS1|MSRA,-0.8,MyList
DisGeNET,35,C0031511,Pheochromocytoma,,-3.3,6.1,5.1,30244,344,86,6,7,2.7,48|353|2271|3320|3417|6652,ACO1|APRT|FH|HSP90AA1|IDH1|SORD,-0.78,MyList
DisGeNET,35,C4505456,HIV Coinfection,,-3.3,11,6,30244,129,86,4,4.7,2.3,3313|3320|3329|5479,HSPA9|HSP90AA1|HSPD1|PPIB,-0.74,MyList
Cell Type Signatures,7,M39229,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-3.3,6,5,30244,353,86,6,7,2.7,2023|3313|3320|3329|5230|7167,ENO1|HSPA9|HSP90AA1|HSPD1|PGK1|TPI1,-0.73,MyList
DisGeNET,35,C1854882,Absent speech,,-3.3,7.6,5.4,30244,232,86,5,5.8,2.5,158|25973|54802|57038|79587,ADSL|PARS2|TRIT1|RARS2|CARS2,-0.73,MyList
DisGeNET,35,C0240635,Byzanthine arch palate,,-3.3,5,4.7,30244,497,86,7,8.1,2.9,538|1352|2271|2673|3313|10056|80324,ATP7A|COX10|FH|GFPT1|HSPA9|FARSB|PUS1,-0.73,MyList
DisGeNET,35,C0235031,Neurologic Symptoms,,-3.3,7.5,5.4,30244,233,86,5,5.8,2.5,538|2632|5230|5236|7167,ATP7A|GBE1|PGK1|PGM1|TPI1,-0.73,MyList
DisGeNET,35,C4551472,Hypertrophic obstructive cardiomyopathy,,-3.3,7.5,5.4,30244,233,86,5,5.8,2.5,353|3329|3376|3735|63931,APRT|HSPD1|IARS1|KARS1|MRPS14,-0.73,MyList
Transcription Factor Targets,16,M29976,FOXR2 TARGET GENES,,-3.3,7.5,5.3,30244,234,86,5,5.8,2.5,158|3704|5230|6729|79693,ADSL|ITPA|PGK1|SRP54|YRDC,-0.73,MyList
Cell Type Signatures,7,M39020,FAN EMBRYONIC CTX BIG GROUPS GLIAL,,-3.2,11,5.9,30244,133,86,4,4.7,2.3,2023|3417|7167|26227,ENO1|IDH1|TPI1|PHGDH,-0.72,MyList
DisGeNET,35,C0262655,Recurrent urinary tract infection,,-3.2,7.4,5.3,30244,237,86,5,5.8,2.5,353|538|3313|3329|5018,APRT|ATP7A|HSPA9|HSPD1|OXA1L,-0.72,MyList
DisGeNET,35,C1266043,Sarcomatoid Renal Cell Carcinoma,,-3.2,10,5.9,30244,134,86,4,4.7,2.3,353|3313|3329|5230,APRT|HSPA9|HSPD1|PGK1,-0.72,MyList
DisGeNET,35,C0025362,Mental Retardation,,-3.2,4.9,4.7,30244,504,86,7,8.1,2.9,158|1738|2820|3313|5018|5230|63931,ADSL|DLD|GPD2|HSPA9|OXA1L|PGK1|MRPS14,-0.72,MyList
Transcription Factor Targets,16,M29890,ARNT2 TARGET GENES,,-3.2,4.2,4.5,30244,673,86,8,9.3,3.1,2987|3313|5230|55902|64960|64983|79587|80324,GUK1|HSPA9|PGK1|ACSS2|MRPS15|MRPL32|CARS2|PUS1,-0.67,MyList
DisGeNET,35,C0024537,"Malaria, Vivax",,-3.2,18,6.9,30244,60,86,3,3.5,2,5226|5236|26227,PGD|PGM1|PHGDH,-0.67,MyList
DisGeNET,35,C1708350,Hereditary Leiomyomatosis and Renal Cell Cancer,,-3.1,17,6.8,30244,61,86,3,3.5,2,2271|3320|6652,FH|HSP90AA1|SORD,-0.66,MyList
DisGeNET,35,C0751406,Post-Traumatic Osteoporosis,,-3.1,17,6.8,30244,61,86,3,3.5,2,2023|2820|7167,ENO1|GPD2|TPI1,-0.66,MyList
DisGeNET,35,C1847514,Postnatal microcephaly,,-3.1,17,6.7,30244,62,86,3,3.5,2,3329|25973|79587,HSPD1|PARS2|CARS2,-0.64,MyList
DisGeNET,35,C0023264,Leigh Disease,,-3.1,9.8,5.6,30244,144,86,4,4.7,2.3,1352|1738|5226|84340,COX10|DLD|PGD|GFM2,-0.63,MyList
Cell Type Signatures,7,M39231,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-3.1,5.5,4.8,30244,381,86,6,7,2.7,2023|2180|2987|5230|5479|7167,ENO1|ACSL1|GUK1|PGK1|PPIB|TPI1,-0.63,MyList
COVID,200,COVID248,RNA_Wilk_CD14+Monocytes_patient-C2_Up,,-3.1,17,6.7,30244,63,86,3,3.5,2,2023|2180|5226,ENO1|ACSL1|PGD,-0.63,MyList
DisGeNET,35,C0030312,Pancytopenia,,-3.1,7,5.1,30244,253,86,5,5.8,2.5,128|6729|6888|10056|51081,ADH5|SRP54|TALDO1|FARSB|MRPS7,-0.63,MyList
DisGeNET,35,C0151786,Muscle Weakness,,-3.1,4.6,4.5,30244,536,86,7,8.1,2.9,538|2108|2632|2673|5226|5230|5236,ATP7A|ETFA|GBE1|GFPT1|PGD|PGK1|PGM1,-0.61,MyList
DisGeNET,35,C0268237,Cytochrome-c Oxidase Deficiency,,-3.1,16,6.6,30244,65,86,3,3.5,2,1352|2632|84340,COX10|GBE1|GFM2,-0.61,MyList
Cell Type Signatures,7,M41655,TRAVAGLINI LUNG GOBLET CELL,,-3.1,9.5,5.5,30244,148,86,4,4.7,2.3,2745|5226|6652|7360,GLRX|PGD|SORD|UGP2,-0.61,MyList
Transcription Factor Targets,16,M30090,NKX2 3 TARGET GENES,,-3.1,4.6,4.5,30244,539,86,7,8.1,2.9,2582|4528|5018|5479|5723|55163|84340,GALE|MTIF2|OXA1L|PPIB|PSPH|PNPO|GFM2,-0.6,MyList
DisGeNET,35,C0037769,West Syndrome,,-3.1,9.4,5.5,30244,149,86,4,4.7,2.3,16|25973|55163|57038,AARS1|PARS2|PNPO|RARS2,-0.6,MyList
DisGeNET,35,C0015625,Fanconi Anemia,,-3,5.4,4.7,30244,393,86,6,7,2.7,128|2023|2745|3320|5723|26227,ADH5|ENO1|GLRX|HSP90AA1|PSPH|PHGDH,-0.59,MyList
