Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0140053,mitochondrial gene expression,19_GO:0008152 metabolic process,-18,37,22,30244,142,81,14,17,4.2,4528|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|80324|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|PUS1|GFM2,-15
MyList,GO Biological Processes,19,GO:0032543,mitochondrial translation,19_GO:0008152 metabolic process,-18,44,23,30244,110,81,13,16,4.1,4528|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-15
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-17,15,16,30244,513,81,20,25,4.8,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-15
MyList,Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-17,52,24,30244,87,81,12,15,3.9,5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-14
MyList,GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-16,15,16,30244,441,81,18,22,4.6,1737|2023|2203|2582|2632|2820|3417|5226|5230|5236|5834|6652|6888|7167|7360|9942|22934|130589,DLAT|ENO1|FBP1|GALE|GBE1|GPD2|IDH1|PGD|PGK1|PGM1|PYGB|SORD|TALDO1|TPI1|UGP2|XYLB|RPIA|GALM,-13
MyList,GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-16,13,15,30244,541,81,19,23,4.7,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|6652|7167|9054|9942|55163|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|SORD|TPI1|NFS1|XYLB|PNPO|ACSS2|AK7,-13
MyList,Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-15,47,22,30244,87,81,11,14,3.8,4528|5018|51021|51073|51081|51263|55173|63931|64960|64963|64983,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-13
MyList,KEGG Pathway,24,hsa00010,Glycolysis / Gluconeogenesis,,-15,56,23,30244,67,81,10,12,3.7,128|1737|1738|2023|2203|5230|5236|7167|55902|130589,ADH5|DLAT|DLD|ENO1|FBP1|PGK1|PGM1|TPI1|ACSS2|GALM,-12
MyList,GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0008152 metabolic process,-14,37,20,30244,110,81,11,14,3.8,2023|2582|2820|5226|5230|5236|5834|6652|7167|9942|130589,ENO1|GALE|GPD2|PGD|PGK1|PGM1|PYGB|SORD|TPI1|XYLB|GALM,-11
MyList,KEGG Pathway,24,hsa01240,Biosynthesis of cofactors,,-14,29,18,30244,153,81,12,15,3.9,158|586|1352|1503|1738|2235|6470|7360|9054|27430|55163|122481,ADSL|BCAT1|COX10|CTPS1|DLD|FECH|SHMT1|UGP2|NFS1|MAT2B|PNPO|AK7,-11
MyList,GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-14,20,16,30244,263,81,14,17,4.2,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|ACSS2|AK7,-11
MyList,GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-14,20,16,30244,264,81,14,17,4.2,48|158|1352|1737|1738|2108|2271|2632|2673|2820|3417|5018|5834|7360,ACO1|ADSL|COX10|DLAT|DLD|ETFA|FH|GBE1|GFPT1|GPD2|IDH1|OXA1L|PYGB|UGP2,-11
MyList,GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-14,20,16,30244,265,81,14,17,4.2,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|ACSS2|AK7,-11
MyList,GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-14,16,15,30244,353,81,15,19,4.3,128|1738|2023|2098|2108|2582|2820|4357|5226|5230|6470|6652|7167|9942|130589,ADH5|DLD|ENO1|ESD|ETFA|GALE|GPD2|MPST|PGD|PGK1|SHMT1|SORD|TPI1|XYLB|GALM,-11
MyList,Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-13,43,20,30244,87,81,10,12,3.7,5018|51021|51073|51081|51263|55173|63931|64960|64963|64983,OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-11
MyList,Reactome Gene Sets,6,R-HSA-71387,Metabolism of carbohydrates,,-13,18,15,30244,297,81,14,17,4.2,2023|2203|2582|2632|5226|5230|5236|5834|6652|6888|7167|7360|9942|22934,ENO1|FBP1|GALE|GBE1|PGD|PGK1|PGM1|PYGB|SORD|TALDO1|TPI1|UGP2|XYLB|RPIA,-11
MyList,GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0008152 metabolic process,-13,24,16,30244,188,81,12,15,3.9,1737|2023|2203|2582|5226|5230|5236|6652|7167|9942|22934|130589,DLAT|ENO1|FBP1|GALE|PGD|PGK1|PGM1|SORD|TPI1|XYLB|RPIA|GALM,-10
MyList,Reactome Gene Sets,6,R-HSA-15869,Metabolism of nucleotides,,-13,38,19,30244,99,81,10,12,3.7,158|353|1503|1841|2745|2987|3614|3704|5471|122481,ADSL|APRT|CTPS1|DTYMK|GLRX|GUK1|IMPDH1|ITPA|PPAT|AK7,-10
MyList,GO Biological Processes,19,GO:0006418,tRNA aminoacylation for protein translation,19_GO:0008152 metabolic process,-13,73,24,30244,41,81,8,9.9,3.3,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-10
MyList,WikiPathways,27,WP4290,Metabolic reprogramming in colon cancer,,-13,71,24,30244,42,81,8,9.9,3.3,2023|2271|5226|5230|5471|5723|6888|22934,ENO1|FH|PGD|PGK1|PPAT|PSPH|TALDO1|RPIA,-10
MyList,GO Biological Processes,19,GO:0043039,tRNA aminoacylation,19_GO:0008152 metabolic process,-13,68,23,30244,44,81,8,9.9,3.3,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-10
MyList,GO Biological Processes,19,GO:1901137,carbohydrate derivative biosynthetic process,19_GO:0008152 metabolic process,-13,11,12,30244,594,81,17,21,4.5,158|353|538|1503|1737|1738|1841|2180|2673|2987|3614|5471|6470|6652|7167|9942|55902,ADSL|APRT|ATP7A|CTPS1|DLAT|DLD|DTYMK|ACSL1|GFPT1|GUK1|IMPDH1|PPAT|SHMT1|SORD|TPI1|XYLB|ACSS2,-10
MyList,GO Biological Processes,19,GO:0043038,amino acid activation,19_GO:0008152 metabolic process,-12,66,23,30244,45,81,8,9.9,3.3,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-9.9
MyList,CORUM,33,CORUM:320,"55S ribosome, mitochondrial",,-12,44,19,30244,77,81,9,11,3.5,51021|51073|51081|51263|55173|63931|64960|64963|64983,MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-9.7
MyList,GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-12,12,13,30244,450,81,15,19,4.3,158|353|1737|1738|2180|2987|3417|3614|3704|5226|5471|6470|6888|22934|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IDH1|IMPDH1|ITPA|PGD|PPAT|SHMT1|TALDO1|RPIA|ACSS2,-9.5
MyList,WikiPathways,27,WP3925,Amino acid metabolism,,-12,37,18,30244,91,81,9,11,3.5,128|586|1738|2271|3376|3417|4357|6723|10056,ADH5|BCAT1|DLD|FH|IARS1|IDH1|MPST|SRM|FARSB,-9
MyList,GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0008152 metabolic process,-11,12,12,30244,420,81,14,17,4.2,158|353|1737|1738|2180|2987|3417|3614|3704|5226|5471|6888|22934|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IDH1|IMPDH1|ITPA|PGD|PPAT|TALDO1|RPIA|ACSS2,-8.7
MyList,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-11,11,12,30244,512,81,15,19,4.3,128|1737|1738|2023|2108|2180|3417|5226|5230|5236|6652|7167|9942|26227|55902,ADH5|DLAT|DLD|ENO1|ETFA|ACSL1|IDH1|PGD|PGK1|PGM1|SORD|TPI1|XYLB|PHGDH|ACSS2,-8.7
MyList,KEGG Pathway,24,hsa00970,Aminoacyl-tRNA biosynthesis,,-11,45,19,30244,66,81,8,9.9,3.3,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-8.5
MyList,GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-11,11,12,30244,456,81,14,17,4.2,353|586|1841|2023|2203|5226|5230|5236|5723|6470|6652|7167|26227|55163,APRT|BCAT1|DTYMK|ENO1|FBP1|PGD|PGK1|PGM1|PSPH|SHMT1|SORD|TPI1|PHGDH|PNPO,-8.3
MyList,Reactome Gene Sets,6,R-HSA-379724,tRNA Aminoacylation,,-11,62,21,30244,42,81,7,8.6,3.1,16|3376|3735|10056|25973|57038|79587,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2,-8.3
MyList,GO Biological Processes,19,GO:0009123,nucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-11,39,17,30244,76,81,8,9.9,3.3,158|353|1841|2987|3614|5471|6470|122481,ADSL|APRT|DTYMK|GUK1|IMPDH1|PPAT|SHMT1|AK7,-8.1
MyList,GO Biological Processes,19,GO:0016051,carbohydrate biosynthetic process,19_GO:0008152 metabolic process,-10,26,15,30244,129,81,9,11,3.5,2023|2203|2632|5226|5230|5236|6652|7167|7360,ENO1|FBP1|GBE1|PGD|PGK1|PGM1|SORD|TPI1|UGP2,-7.7
MyList,KEGG Pathway,24,hsa01232,Nucleotide metabolism,,-10,35,16,30244,85,81,8,9.9,3.3,158|353|1503|1841|2987|3614|3704|122481,ADSL|APRT|CTPS1|DTYMK|GUK1|IMPDH1|ITPA|AK7,-7.7
MyList,GO Biological Processes,19,GO:0006399,tRNA metabolic process,19_GO:0008152 metabolic process,-9.9,19,13,30244,194,81,10,12,3.7,16|3376|3735|10056|25973|57038|79587|80324|112487|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|PUS1|DTD2|TARS3,-7.5
MyList,GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0008152 metabolic process,-9.9,19,13,30244,195,81,10,12,3.7,48|158|1352|1737|1738|2108|2271|2820|3417|5018,ACO1|ADSL|COX10|DLAT|DLD|ETFA|FH|GPD2|IDH1|OXA1L,-7.5
MyList,CORUM,33,CORUM:315,"28S ribosomal subunit, mitochondrial",,-9.9,77,21,30244,29,81,6,7.4,2.9,51021|51081|55173|63931|64960|64963,MRPS16|MRPS7|MRPS10|MRPS14|MRPS15|MRPS11,-7.4
MyList,GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-9.8,19,13,30244,198,81,10,12,3.7,538|586|1503|2673|4357|4482|5471|5723|6470|26227,ATP7A|BCAT1|CTPS1|GFPT1|MPST|MSRA|PPAT|PSPH|SHMT1|PHGDH,-7.4
MyList,GO Biological Processes,19,GO:0046364,monosaccharide biosynthetic process,19_GO:0008152 metabolic process,-9.6,44,17,30244,60,81,7,8.6,3.1,2023|2203|5226|5230|5236|6652|7167,ENO1|FBP1|PGD|PGK1|PGM1|SORD|TPI1,-7.2
MyList,GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-9.5,12,11,30244,369,81,12,15,3.9,158|353|1503|1737|1738|2180|2987|3614|3704|5471|22934|55902,ADSL|APRT|CTPS1|DLAT|DLD|ACSL1|GUK1|IMPDH1|ITPA|PPAT|RPIA|ACSS2,-7.1
MyList,GO Biological Processes,19,GO:0019318,hexose metabolic process,19_GO:0008152 metabolic process,-9.3,21,13,30244,159,81,9,11,3.5,1737|2023|2203|2582|5230|5236|6652|7167|130589,DLAT|ENO1|FBP1|GALE|PGK1|PGM1|SORD|TPI1|GALM,-6.9
MyList,WikiPathways,27,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),,-9.3,1.2e+02,24,30244,16,81,5,6.2,2.7,48|1737|1738|2271|3417,ACO1|DLAT|DLD|FH|IDH1,-6.9
MyList,KEGG Pathway,24,hsa03010,Ribosome,,-9.1,20,13,30244,167,81,9,11,3.5,51021|51073|51081|51263|55173|63931|64960|64963|64983,MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-6.8
MyList,GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-9.1,16,12,30244,238,81,10,12,3.7,158|353|1737|1738|2180|2987|3614|5471|6470|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IMPDH1|PPAT|SHMT1|ACSS2,-6.7
MyList,GO Biological Processes,19,GO:0006006,glucose metabolic process,19_GO:0008152 metabolic process,-9,25,14,30244,118,81,8,9.9,3.3,1737|2023|2203|5230|5236|6652|7167|130589,DLAT|ENO1|FBP1|PGK1|PGM1|SORD|TPI1|GALM,-6.6
MyList,KEGG Pathway,24,hsa00230,Purine metabolism,,-8.7,23,13,30244,128,81,8,9.9,3.3,158|353|2987|3614|3704|5236|5471|122481,ADSL|APRT|GUK1|IMPDH1|ITPA|PGM1|PPAT|AK7,-6.3
MyList,WikiPathways,27,WP534,Glycolysis and gluconeogenesis,,-8.6,50,17,30244,45,81,6,7.4,2.9,1737|1738|2023|2203|5230|7167,DLAT|DLD|ENO1|FBP1|PGK1|TPI1,-6.3
MyList,WikiPathways,27,WP4224,Purine metabolism and related disorders,,-8.5,85,20,30244,22,81,5,6.2,2.7,158|353|3614|3704|5471,ADSL|APRT|IMPDH1|ITPA|PPAT,-6.2
MyList,GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,19_GO:0008152 metabolic process,-8.5,11,10,30244,360,81,11,14,3.8,158|353|1503|1737|1738|2180|2987|3614|3704|5471|55902,ADSL|APRT|CTPS1|DLAT|DLD|ACSL1|GUK1|IMPDH1|ITPA|PPAT|ACSS2,-6.1
MyList,WikiPathways,27,WP4018,Clear cell renal cell carcinoma pathways,,-8.5,30,14,30244,86,81,7,8.6,3.1,2023|5230|5236|5723|6470|7167|26227,ENO1|PGK1|PGM1|PSPH|SHMT1|TPI1|PHGDH,-6.1
MyList,GO Biological Processes,19,GO:0046365,monosaccharide catabolic process,19_GO:0008152 metabolic process,-8.4,46,16,30244,49,81,6,7.4,2.9,2023|2582|5230|7167|9942|130589,ENO1|GALE|PGK1|TPI1|XYLB|GALM,-6.1
MyList,GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-8.3,16,11,30244,208,81,9,11,3.5,158|353|1503|1737|1738|2180|3614|5471|55902,ADSL|APRT|CTPS1|DLAT|DLD|ACSL1|IMPDH1|PPAT|ACSS2,-6
MyList,GO Biological Processes,19,GO:0019319,hexose biosynthetic process,19_GO:0008152 metabolic process,-8.3,44,16,30244,51,81,6,7.4,2.9,2023|2203|5230|5236|6652|7167,ENO1|FBP1|PGK1|PGM1|SORD|TPI1,-6
MyList,GO Biological Processes,19,GO:0046390,ribose phosphate biosynthetic process,19_GO:0008152 metabolic process,-8.2,16,11,30244,215,81,9,11,3.5,158|353|1503|1737|1738|2180|3614|5471|55902,ADSL|APRT|CTPS1|DLAT|DLD|ACSL1|IMPDH1|PPAT|ACSS2,-5.9
MyList,GO Biological Processes,19,GO:0046037,GMP metabolic process,19_GO:0008152 metabolic process,-8,69,18,30244,27,81,5,6.2,2.7,158|353|2987|3614|5471,ADSL|APRT|GUK1|IMPDH1|PPAT,-5.7
MyList,GO Biological Processes,19,GO:0006790,sulfur compound metabolic process,19_GO:0008152 metabolic process,-8,12,10,30244,308,81,10,12,3.7,1737|1738|2180|3313|4357|4482|9054|26227|27430|55902,DLAT|DLD|ACSL1|HSPA9|MPST|MSRA|NFS1|PHGDH|MAT2B|ACSS2,-5.7
MyList,GO Biological Processes,19,GO:0006164,purine nucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.9,15,11,30244,229,81,9,11,3.5,158|353|1737|1738|2180|2987|3614|5471|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IMPDH1|PPAT|ACSS2,-5.7
MyList,GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0008152 metabolic process,-7.9,18,11,30244,163,81,8,9.9,3.3,48|158|1352|1737|1738|2271|3417|5018,ACO1|ADSL|COX10|DLAT|DLD|FH|IDH1|OXA1L,-5.6
MyList,GO Biological Processes,19,GO:0006081,cellular aldehyde metabolic process,19_GO:0008152 metabolic process,-7.8,37,14,30244,61,81,6,7.4,2.9,128|2098|3417|6888|7167|55163,ADH5|ESD|IDH1|TALDO1|TPI1|PNPO,-5.5
MyList,KEGG Pathway,24,hsa00020,Citrate cycle (TCA cycle),,-7.8,62,17,30244,30,81,5,6.2,2.7,48|1737|1738|2271|3417,ACO1|DLAT|DLD|FH|IDH1,-5.5
MyList,KEGG Pathway,24,hsa00030,Pentose phosphate pathway,,-7.8,62,17,30244,30,81,5,6.2,2.7,2203|5226|5236|6888|22934,FBP1|PGD|PGM1|TALDO1|RPIA,-5.5
MyList,Reactome Gene Sets,6,R-HSA-499943,Interconversion of nucleotide di- and triphosphates,,-7.8,62,17,30244,30,81,5,6.2,2.7,1503|1841|2745|2987|122481,CTPS1|DTYMK|GLRX|GUK1|AK7,-5.5
MyList,GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0008152 metabolic process,-7.6,11,9.6,30244,341,81,10,12,3.7,158|353|1737|1738|2180|2987|3614|3704|5471|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IMPDH1|ITPA|PPAT|ACSS2,-5.3
MyList,WikiPathways,27,WP143,Fatty acid beta-oxidation,,-7.5,55,16,30244,34,81,5,6.2,2.7,1738|2180|2820|7167|55902,DLD|ACSL1|GPD2|TPI1|ACSS2,-5.2
MyList,GO Biological Processes,19,GO:0006090,pyruvate metabolic process,19_GO:0008152 metabolic process,-7.5,32,14,30244,69,81,6,7.4,2.9,1737|1738|2023|5230|5236|7167,DLAT|DLD|ENO1|PGK1|PGM1|TPI1,-5.2
MyList,WikiPathways,27,WP4792,Purine metabolism,,-7.5,1.1e+02,21,30244,13,81,4,4.9,2.4,158|353|3614|3704,ADSL|APRT|IMPDH1|ITPA,-5.2
MyList,WikiPathways,27,WP5178,Disorders of fructose metabolism,,-7.3,1.1e+02,20,30244,14,81,4,4.9,2.4,2203|5236|6652|7167,FBP1|PGM1|SORD|TPI1,-5.1
MyList,GO Biological Processes,19,GO:0006177,GMP biosynthetic process,19_GO:0008152 metabolic process,-7.3,1.1e+02,20,30244,14,81,4,4.9,2.4,158|353|3614|5471,ADSL|APRT|IMPDH1|PPAT,-5.1
MyList,GO Biological Processes,19,GO:0009152,purine ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.3,15,10,30244,194,81,8,9.9,3.3,158|353|1737|1738|2180|3614|5471|55902,ADSL|APRT|DLAT|DLD|ACSL1|IMPDH1|PPAT|ACSS2,-5
MyList,Reactome Gene Sets,6,R-HSA-71291,Metabolism of amino acids and derivatives,,-7.2,9.9,9,30244,376,81,10,12,3.7,586|1737|1738|3376|3735|4357|5723|6470|6723|26227,BCAT1|DLAT|DLD|IARS1|KARS1|MPST|PSPH|SHMT1|SRM|PHGDH,-4.9
MyList,GO Biological Processes,19,GO:0019320,hexose catabolic process,19_GO:0008152 metabolic process,-7.1,46,15,30244,41,81,5,6.2,2.7,2023|2582|5230|7167|130589,ENO1|GALE|PGK1|TPI1|GALM,-4.9
